科室,疾病,ICD编码,备注1,备注2,ICDcode,现有241类疾病中已包括,gender,age,兼职人员,top0症状体征,关键症状体征,重要症状体征,普通症状体征,关键化验检查,重要化验检查,普通化验检查,delete,
儿科,其他皮炎,,"[('湿疹', 4061), ('虫咬性皮炎', 80), ('包皮炎', 62), ('肛周皮炎', 53), ('皮炎', 47)]",,L30,,,,,"湿疹,虫咬性皮炎,包皮炎,肛周皮炎,皮炎，异位性皮炎",,"眼睑瘙痒,红斑鳞屑,红斑样皮疹,皮肤瘀点,皮肤发红,丘疹,皮肤轻度糜烂","发热,咳嗽,脱屑,视网膜水肿,水疱,大疱损害,眼睑肥厚,皮肤增厚,虚汗,皮肤损害,手上有小水泡,皮肤湿疹,结节,出血性丘疹,视物模糊,皮肤水疱,皮肤湿毒,斑疹,皮肤剥落,视力异常,皮肤浸润,斑块,恶心,呕吐,潮红潮热,肿胀,皮疹,腹壁红斑,溃疡,疱疹,脓疱,皮肤出现脱落,红色盲,皮肤干燥,皮肤皲裂,关节痛,嗜睡,黏膜损害,瘙痒,皮肤瘙痒,紫癜,汗出如油,淋巴结肿大,瘀斑,头疼,皮肤硬化",体格检查,活检,,,
儿童皮肤科,荨麻疹,L50.900 ,,,L50,Yes,,,,"荨麻疹,丘疹样荨麻疹,急性荨麻疹,慢性荨麻疹,丘性性荨麻疹",,"疲乏,发热,恶心,呕吐,瘙痒,水肿性红斑,头疼,风团","全身皮肤充血,皮肤发红,红斑样皮疹,打喷嚏,丘疹,呼吸困难,周身不适,食欲减退,吞咽困难,皮肤瘙痒,皮肤水疱,皮肤有压痕,淋巴结肿大",体格检查,病史采集,,,
儿科,甲疾患,,"[('甲营养不良', 99), ('趾甲角化不良', 1), ('甲床营养不良', 1)]",,L60,,,,,"甲疾患,甲营养不良,趾甲角化不良,甲床营养不良",,"甲板无光泽,指甲易碎,甲板切迹,甲板纵嵴,甲板变薄,甲板变厚,甲横断","脚趾红肿,趾甲变薄,变形,浑浊,易碎疼痛",体格检查,病史采集,,,
儿科,其他非瘢痕性毛发缺失,,"[('脱发', 160), ('局部脱发', 2), ('毛发增多', 1), ('脂溢性脱发', 1), ('毛发脱落', 1)]",,L65,,,,,"毛发缺失,脱发,局部脱发,毛发增多,脂溢性脱发,毛发脱落",,"毛根松动,毛发异常,","眉毛细,眉毛稀疏,全秃,丘疹,结节,脱发,色素异常",活检,,,,
儿科,毛色和毛干异常,,"[('白发', 80), ('头发白', 1)]",,L67,,,,,"毛色异常,毛干异常,白发,头发白",,毛发异常,白发,体格检查,组织病理学：毛囊异常,,,
妇产科,痤疮,,"[('面部痤疮', 167), ('痤疮', 45), ('面部及背部痤疮', 1), ('面部背部痤疮', 1)]",,L70,,,,,"痤疮,面部痤疮,面部及背部痤疮,面部背部痤疮",,"脓疱,黑头,囊肿,结节,炎性丘疹,白头,粉刺",,痤疮丙酸杆菌阳性,雄激素升高，促炎症因子白介素(IL)-1α阳性,,,
妇产科,其他毛囊疾患,,"[('毛囊炎', 66), ('化脓性毛囊炎', 2), ('皮脂腺样皮疹', 1), ('周孕外阴毛囊炎', 1), ('皮脂腺', 1)]",,L73,,,,,"毛囊疾患,毛囊炎,化脓性毛囊炎,皮脂腺样皮疹,周孕外阴毛囊炎,皮脂腺",,"毛发周围红色丘疹,毛发周围丘疹性脓疱,毛囊性脓疱","干燥结痂,四周红晕",,病变部位细菌培养阳性,,,
儿童皮肤科,白癜风,L80.x00,,,L80,No,,,王叮咛,,一片或几片色素减退斑，境界清楚的色素脱失斑，乳白色斑点，白癜风,白斑，毛孔周围岛状色素,,病理活检：基底层黑素细胞减少或消失，表皮黑素颗粒缺乏，多巴染色阴性,,,,
儿科,色素沉着的其他疾患,,"[('皮肤色素脱失', 15), ('皮肤色素沉着', 12), ('食物性色素沉着', 5), ('色素沉着', 3), ('皮肤咖啡牛奶斑', 3)]",,L81,,,,,"皮肤色素脱失,皮肤色素沉着,食物性色素沉着,色素沉着,皮肤咖啡牛奶斑",,"咖啡斑,色素痣,晒斑,老年斑,太田痣,雀斑,皮肤色素沉着,黄褐斑,色素性毛表皮痣",,活检：色素沉着,体格检查,,,
整形美容科 ,皮肤萎缩性疾患,L90,,,L90,No,,,唐晓昱,,瘢痕，疤痕，瘢痕挛缩，瘢痕粘连，手术后瘢痕，瘤样瘢痕，瘢痕疙瘩，皮肤赘生物,皮肤萎缩，面部萎缩,,,,,,
儿童过敏免疫风湿病科,红斑狼疮,L93.001,,,L93,No,,,嘉敏,,蝶形红斑、盘状皮损、皮肤对光过敏,淋巴结肿大、脾肿大、红斑或丘疹、口腔、外阴溃疡、鼻溃疡、脱发、雷诺现象、网状青斑、动静脉栓塞、反复流产,发热、疲劳、乏力、体重减轻、贫血、腹痛、腹泻、恶心、呕吐,自身抗体阳性、免疫球蛋白升高及补体减低,蛋白尿血尿、管型尿、白细胞减少、血小板减少、血沉（ESR）增快,0,,
儿童皮肤科,皮肤病,L98,,,L98,No,,,王叮咛,,瘙痒、疼痛、烧灼、麻木感；皮肤损害；,斑疹、斑块、丘疹、风团、水疱和大疱、脓疱、结节、囊肿、糜烂、溃疡、鳞屑、浸渍、裂隙、瘢痕、萎缩、痂、抓痕、苔藓样变,畏寒发热、乏力、食欲缺乏、关节疼痛,皮肤组织病理学检查,必要的实验室检查、皮肤影像学检查、,,,
儿童骨科,化脓性关节炎,M00.900 ,,,M00,No,,,刘延青,,关节红、肿、热、痛，关节腔积液,关节屈曲，外伤史，起病急骤，寒颤，高热可达39℃,全身炎症反应，谵妄昏迷,关节液外观清亮、浑浊或黄白色，镜检见多量脓细胞，革兰染色可见成堆阳性球菌,白细胞升高可达10*109，血沉增快，CRP升高/C反应蛋白升高,——,,
儿童过敏免疫风湿病科,类风湿性关节炎,M06.991,,,M06,No,,,嘉敏,,关节肿胀、持续性关节游走性疼痛、天鹅颈症、钮扣花症,晨僵、类风湿结节,指端坏疽、皮肤溃疡,类风湿因子阳性、正细胞正色素性贫血,0,血沉增快、C-反应蛋白升高、血小板升高,,
儿童过敏免疫风湿病科,类风湿病,M08.301儿童类风湿,,,M08,No,,,嘉敏,,,全身症状、两侧对称关节稳定病变,关节痛、持续发热,0,0,0,,
儿童过敏免疫风湿病科,关节炎,M13.991,,,M13,No,,,嘉敏,,关节活动受限,关节肿胀、关节疼痛,,0,0,C-反应蛋白升高,,
儿科,髋关节病,,"[('先髋', 72)]",,M16,,,,,"髋关节病,先髋",一侧髋关节伸展受限,"一侧腿短,大腿皱褶,臀部皱褶","关节积液,软骨磨损,髋关节活动受限,关节变形",体格检查,X片：髋关节异常,超声：髋关节异常,,
儿科,四肢其他后天性变形,,"[('X型腿', 112), ('生理性膝内翻', 88), ('O型腿', 76), ('生理性膝外翻', 70), ('内八字', 62)]",,M21,,,,,"四肢其他后天性变形,X型腿,生理性膝内翻,O型腿,生理性膝外翻,内八字",,"X形腿,足内翻,O型腿,内翻足,多指","短指,外八字,内八字,扁平足,巨指,X型腿,腿部畸形,腕关节向掌侧移位,掌屈畸形,手腕短缩",体格检查,X片：相关部位异常,磁共振：相关部位异常,,
小儿普通外科,韧带损伤,M24.200韧带疾患,M24.206韧带钙化,M67.807韧带骨化,M24,No,,,嘉敏,,,外伤史、患处疼痛、患处运动受限、,0,0,0,0,,
儿科,"其他关节疾患,不可归类在他处者",,"[('JIA', 178), ('幼年特发性关节炎', 88), ('JRA', 75), ('类风湿关节炎', 73), ('类风湿性关节炎', 66)]",,M25,,,,,"JIA,幼年特发性关节炎,JRA,类风湿关节炎,类风湿性关节炎",,"发热,关节交锁,关节韧带损伤,丘疹,肌肉关节疼痛,关节肿痛,半月板受损,皮疹,淋巴结肿大,肝脾肿大,关节韧带撕裂","疲乏,皮肤斑丘疹,关节僵直,晨僵膝关节肿大,颞部疼痛,下肢外展,关节响痛,风寒湿痹,色素沉着,食欲减退,关节肿胀,踝关节疼痛,肩关节痛,间歇性跛行,关节僵硬,咽痛,白细胞增多,对称性肿胀,背痛,吞咽困难,食欲不振,滑膜发炎,溃疡,脓疱,指节增粗,头晕,畏寒,腰背痛,半月板受损,腰骶疼痛,肝脾肿大,色素异常,头疼",体格检查,X片：局部关节异常,,,
儿童过敏免疫风湿病科,结节性多动脉炎和有关情况,,"[('川崎病', 2377), ('不完全川崎病', 29), ('川崎病痊愈', 26), ('不典型川崎病', 16), ('川崎病后', 11)]",,M30,,,,,川崎病,,"口唇干燥皲裂,斑丘疹,发热,结膜充血,颈部淋巴结肿大","疲乏,水疱,眼结膜充血,紫癜,淋巴结肿大,咽黏膜充血",体格检查,活检：沿浅表动脉分布的皮下结节，多形性损害,,,
儿童过敏免疫风湿病科,系统性红斑狼疮,,"[('狼疮性肾炎', 305), ('系统性红斑狼疮', 290), ('SLE', 195), ('系统红斑狼疮', 1), ('狼疮性肾炎IV型', 1)]",,M32,,,,,"系统性红斑狼疮,狼疮性肾炎,系统性红斑狼疮,SLE,系统红斑狼疮,狼疮性肾炎IV型",,"面部蝶形红斑,发热,斑疹,甲周红斑,关节痛,肌肉疼痛","管型尿,夜尿增多,关节肿痛,肌肉酸痛,疲惫无力,盘状红斑,紫绀,肝脾肿大,肌性肌无力,溃疡,间歇性跛行","自身免疫抗体监测：SSA,SSB等阳性",血常规：无特征性,肝肾功检查：肝肾功能损害,,
儿童过敏免疫风湿病科,皮多肌炎,,"[('皮肌炎', 125), ('幼年皮肌炎', 37), ('幼年性皮肌炎', 3), ('幼年皮肌炎转移性钙化', 1)]",,M33,,,,,"皮多肌炎,皮肌炎,幼年皮肌炎,幼年性皮肌炎,幼年皮肌炎转移性钙化",,"吞咽困难,肌肉压痛,肌肉酸痛,眼睑的水肿性紫红色斑,乏力,肌性肌无力","疲乏,发热,斑疹,呼吸困难,说话困难,钙沉积,肌肉僵硬,食欲不振,皮疹,皮下组织硬结,双上眼睑紫红色斑,关节痛,喉肌无力,关节挛缩,肌肉疼痛,体重减轻,厌食,头疼,体重下降",抗胸腺核抗原（RM-1）抗体呈阳性或抗全胸腺核提取物（Jo-1）抗体阳性,血清肌酶升高,,,
儿童过敏免疫风湿病科,结缔组织的其他系统性受累,,"[('结缔组织病', 23), ('结缔组织疾病', 16), ('大便干燥', 5), ('干燥综合征', 4), ('混合结缔组织病', 2)]",,M35,,,,,"结缔组织病,结缔组织疾病,大便干燥,干燥综合征,混合结缔组织病,白塞氏病",,"发热,γ球蛋白增高,类风湿因子阳性,关节痛,血管炎,血沉增快",,自身免疫抗体：阳性,体格检查,,,
儿童骨科,脊柱侧弯,M41.900 ,,,M41,No,,,刘延青,,腰骶疼痛，脊柱中线偏向一侧呈C或S形，双肩不等高，背部左右不平,背部肌肉酸痛，长期低热，高热，关节痛，外周关节炎症，外周关节急性炎症,厌食、低热、乏力、消瘦，心肺功能异常，肺活量低，活动后胸闷、气促，,——,——,贫血,,
儿科,其他变形性背部病,,"[('斜颈', 369), ('习惯性斜颈', 29), ('肌性斜颈', 22), ('右侧斜颈', 19), ('右侧肌性斜颈', 16)]",,M43,,,,,"变形性背部病,斜颈,习惯性斜颈,肌性斜颈,右侧斜颈,右侧肌性斜颈",,"颈部僵硬,头部活动受限","颈部疼痛,颜面部畸形,斜颈畸形,体型异常,颈部肿块,颈部肌肉肿胀",体格检查,X片：相关部位骨骼异常,磁共振：相关部位骨骼结构异常,,
儿童骨科,颈椎病,M47.201 ,,,M47,No,,,刘延青,,头疼，头晕，头皮发麻，颈肩肌肉疲劳，颈椎小关节错位,颈椎间隙炎症、颈椎间隙水肿，恶心，心慌，,肌背肌发育不对称,0,0,0,,
妇产科,背痛,,"[('腰痛', 384), ('背痛', 18), ('经期腰痛', 4), ('腰骶部痛', 4), ('腰腹胀痛', 4)]",,M54,,,,,"背痛,腰痛,经期腰痛,腰骶部痛,腰腹胀痛",,"下肢放射痛,腰背酸痛,腰骶疼痛,背痛，放散至大腿内侧疼痛","臀部疼痛,脚无力,腰骶部疼痛,腰椎膨出,腰脊椎疼痛,慢性腰痛,肾气虚,刺痛,肾阴虚,上肢疼痛,胀痛,下腰部疼痛,腰部僵直感,腰背刺痛,剧烈运动后腰痛,肌肉萎缩,下肢麻痛,麻木感,下背部酸痛,腿无力,腰部酸胀及无力,右腰部压痛",子宫附件彩超：盆腔包块，盆腔积液，盆腔静脉淤血；,泌尿系彩超：结石。X线：脊柱侧弯、腰椎畸形等；CT：神经根异常；MRI：椎间盘突出、椎管狭窄；骨密度低；SPECT：骨折、感染、骨肿瘤,,,
儿童骨科,滑膜炎和腱鞘炎,,"[('滑膜炎', 21), ('扳机指', 18), ('髋关节滑膜炎', 12), ('腱鞘炎', 11), ('左侧髋关节滑膜炎', 4)]",,M65,,,,,"滑膜炎,腱鞘炎,滑囊炎,扳机指,髋关节滑膜炎,腱鞘炎,左侧髋关节滑膜炎，腱鞘囊肿",,"关节痛,关节肿胀,关节活动受限","发热,肌肉硬结,膝关节肿大,肿胀,腱鞘厚化,足踝滑圆形包块,滑膜发炎,干燥结痂,踝膝关节积液,肌损伤,滑膜增厚,关节液增加,膝及小腿瘀血斑,关节出血,拇指疼痛,腱反射异常,肌肉酸痛,桡骨茎突剧痛,疼痛",体格检查,X片：滑膜炎骨质无异常，或者有退行性改变，或者有关节内游离体，骨关节边缘有骨刺,穿刺检查：关节穿刺抽出液体多为黄色，清澈，或有血液而呈粉红色，细菌培养阴性。,,
儿科,"其他软组织疾患,不可归类在他处者",,"[('腿痛', 586), ('左下肢肿胀', 4), ('右下肢肿胀', 4), ('膝盖痛', 3), ('下肢肿胀', 3)]",,M79,,,,,"软组织疾患,不可归类在他处者,腿痛,左下肢肿胀,右下肢肿胀,膝盖痛,下肢肿胀",,"腿痛,肌肉肿胀,下肢肿胀","脂肪萎缩,神经痛,四肢肿胀,软组织疾患,风湿",体格检查,X片：相关部位密度高或低,磁共振：相关部位密度异常,,
儿童骨科,骨囊肿,M85.603 ,,,M85,No,,,刘延青,,骨囊性包块，囊肿压痛，囊肿疼痛，囊内黄色液体，囊内褐色液体，囊内透明液体,外伤史，病理性骨折，患肢疼痛，患肢肿胀，患肢功能障碍,骨膜反应，骨质增厚,0,0,白细胞升高,,
儿童骨科,骨髓炎,M86.900 ,,,M86,No,,,刘延青,,胫骨上段，股骨下端多见，患肢剧痛，患肢半屈曲状，周围肌肉痉挛，局部皮肤红肿热痛，软组织深部脓肿,恶寒，高热可达39℃，呕吐，脓毒症状,局限性压痛，肿胀，全身中毒症状,局部脓肿分层穿刺，脓液镜检见多量脓细胞，脓液镜检可见细菌，脓液血培养阳性,白细胞升高可达10*109，血沉增快，CRP升高/C反应蛋白升高,0,,
儿童骨科,股骨头坏死,M87.002 ,,,M87,No,,,刘延青,,间歇性跛行，髋关节疼痛，膝关节疼痛，大腿内侧疼痛,外伤史，伤后可急性发作疼痛、跛行明显，髋关节周围时有压痛点，髋关节有疼痛感，4字实验阳性，髋关节活动受限,髋关节附近肌挛缩，大腿肌萎缩，小腿肌萎缩，肢体缩短，畸形,血沉加快，白细胞升高,0,贫血,,
儿童骨科,骨质增生,M89.309 ,,,M89,No,,,刘延青,,关节疼痛，关节肿胀，关节麻木，骨刺,关节压痛，关节僵硬，活动不便，行动不便,神经痛，放射痛，瘫痪，营养不良,血沉加快,0,贫血,,
儿科,肌肉骨骼系统和结缔组织的其他后天性变形,,"[('漏斗胸', 153), ('鸡胸', 102), ('胸廓畸形', 63), ('先天性漏斗胸', 30), ('轻度漏斗胸', 12)]",,M95,,,,,"肌肉骨骼畸形,漏斗胸,鸡胸,胸廓畸形,先天性漏斗胸,轻度漏斗胸",,"胸廓变形,驼背","圆形削肩,颈向前伸,腹部凸出,呼吸困难,罐状腹,心慌,不好动,吸气性喘鸣,气短,体形瘦弱",体格检查,X片：相关部位结构异常,磁共振：相关部位结构异常,,
儿童肾内科,肾炎,N00.902,,,N00,No,,,王叮咛,,呼吸道及皮肤感染；血尿、蛋白尿、尿量减少,水肿，高血压，充血性心力衰竭，呼吸困难、端坐呼吸、颈静脉怒张、频咳、咳粉红色泡沫痰、两肺布满湿罗音、心脏扩大、奔马律、肝肿大、水肿加重、剧烈头痛、复视或一过性失明、惊厥、昏迷、尿少、尿闭、急性肾功能不全、,全身不适、乏力、食欲不振、发热、头痛、头晕、咳嗽、气急、恶心、呕吐、腹痛、淋巴结肿大、炎症渗出、鼻出血、,尿蛋白+~+++，血尿，镜下红细胞，透明、颗粒或红细胞管型；血清C3及总补体下降；,血清抗链球菌溶血素“O”滴度升高；循环免疫复合物及血清冷球蛋白阳性；血尿素氮和肌酐升高，内生肌酐清除率降低；,白细胞升高或正常，血沉加快,,
儿童肾内科,IGA肾病,N02.801,,,N02,No,,,王叮咛,,感染；血尿，肉眼血尿、镜下血尿,轻度或无蛋白尿，血尿,水肿、高血压、肾功能正常或轻度减退,肾活检免疫病理学检查:光镜下常见弥漫性系膜增生或局灶节段增生性肾小球肾炎；免疫荧光可见系膜区IgA或以IgA为主的免疫复合物沉积；血清IgA升高。,尿沉渣：尿红细胞增多；镜下检查：尿液中以变形红细胞为主；尿蛋白：阴性，少数呈大量蛋白尿。,0,,
儿童肾内科,肾病综合征,N04.900,,,N04,No,,,王叮咛,,大量蛋白尿；低蛋白血症；,水肿；高脂血症；腰痛、肋腹痛、血尿、高血压、肾功能减退、,食欲减退、蛋白质摄入不足、吸收不良、易感染、高凝、微量元素缺乏、内分泌紊乱、免疫功能低下、动脉硬化、贫血、呼吸困难,肾活检：下可见系膜细胞和细胞外基质弥漫增生，可分为轻、中、重度；尿常规：尿蛋白+++~++++；尿蛋白定量大于3.5g/d；血浆白蛋白低于30g/L,胆固醇显著升高；肾功能：轻度氮质血症；,血清补体正常；血清肌酐多正常；凝血功能提示高凝状态；,,
儿科,梗阻性和反流性尿路病,,"[('左肾积水', 90), ('肾积水', 85), ('右肾积水', 28), ('膀胱输尿管反流', 22), ('双肾积水', 19)]",,N13,,,,,"梗阻性和反流性尿路病,左肾积水,肾积水,右肾积水,膀胱输尿管反流,双肾积水",,"发热,尿痛,尿频","疲乏,少尿,尿瘘,恶心,尿灼烧感,呕吐,夜尿增多,肾盂积水,腹泻,蛋白尿,脓尿,血尿,肾部积水现象",超声：输尿管扩张、肾盂积水等情况,泌尿系造影：先天性畸形,,,
儿科,慢性肾病,,"[('肾病综合征', 2031), ('IgA肾病', 1902), ('NS', 1178), ('肾病', 214), ('肾炎', 81)]",,N18,,,,,"慢性肾病,肾病综合征,IgA肾病，肾病,肾炎",,"多尿血尿,全身水肿,少尿,低热,蛋白尿增多,食欲不振,腹痛,腰痛","疲乏,尿中红细胞,恶心,呕吐,血浆胆固醇高,夜尿增多,尿中见血,生长缓慢,全身性血管损害,容易疲劳,下肢水肿,尿液大量泡沫头疼,血压高","肾功能：BUN,Cr增高",泌尿系超声：肾脏有异常,活检：异常结果,,
儿童泌尿外科,肾功能衰竭,N19.X03,,,N19,No,,,刘延青,,无尿，少尿，尿量减少，,肾盂积水，肾实质性萎缩，尿路梗阻，,休克,GFR下降，尿素氮，肌酐升高，高尿酸血症，尿钠下降NA＜20mmol/l，后期尿钠上升NA＜40mmol/l,尿中肾衰管型，尿中可见红细胞，尿中可见白细胞，尿中蛋白质阳性,高钾血症，血磷升高,,
儿童泌尿外科,输尿管结石,N20.101,,,N20,No,,,刘延青,,腹部疼痛，血尿，无尿，少尿，感染发热，排石症状,尿频，尿急，尿痛，肾盂积水，感染,发热,尿中出现结石，尿中多量红细胞，,白细胞升高,0,,
儿童泌尿外科,尿结石,N21.100,,,N21,No,,,刘延青,,肾结石，膀胱结石，输尿管结石，尿道结石,肾区疼痛，血尿，无尿，少尿，感染发热，排石症状；尿频，尿急，尿痛，肾盂积水；下腹疼痛，下腹疼痛向会阴部放射，尿流中断，排尿困难，尿流变细，尿滴沥，急性尿潴留，终末性血尿；排尿困难，尿滴沥，血尿，排尿痛，阴茎痛，急性尿潴留，脓尿，尿道瘘，尿频，尿急，尿痛,消化道伴随症状，腹痛，呕吐,尿中出现结石，尿中多量红细胞，,白细胞升高,0,,
儿科,肾小管功能损害所致的疾患,,"[('肾小管酸中毒', 49), ('远端肾小管酸中毒', 5), ('肾性尿崩症', 4), ('肾功能损害', 1), ('肾小管酸中毒I型', 1)]",,N25,,,,,"肾小管功能损害所致的疾患,肾小管酸中毒,远端肾小管酸中毒,肾性尿崩症,肾功能损害,肾小管酸中毒I型",,"多尿,烦渴多饮","昏迷,智力发育迟缓",尿常规：血尿、蛋白尿、尿管型,泌尿系超声：肾脏有异常,泌尿系造影：结构异常,,
儿童肾内科,肾病,N28.901,,,N28,No,,,王叮咛,,尿量减少，尿色变深；,凹陷性水肿；腹腔积液或胸腔积液；短暂的镜下血尿；肌酐清除率下降；急性肾衰竭；,无肉眼血尿、轻度高血压、低磷性佝偻病、肾性糖尿、氨基酸尿、酸中毒,肾活检：光镜下肾小球没有明显病变，近端肾小管上皮细胞可见脂肪变性；尿常规：尿蛋白+++~++++；尿蛋白定量大于0.1g/kg/d；血浆白蛋白低于25g/L,胆固醇显著升高；肾功能：轻度氮质血症；,血清补体正常；血清肌酐多正常；凝血功能提示高凝状态；,,
儿童泌尿外科,神经源性膀胱,N31.901,,,N31,No,,,嘉敏,,尿急、尿频、夜尿、尿失禁、遗尿、排尿困难、膀胱排空不全、尿潴留，生殖器区敏感，性欲异常,便秘，大便失禁，会阴部感觉麻木，肢体麻木,,,,,,
儿童泌尿外科,膀胱过度活动症,N32.805,,,N32,No,,,刘延青,,尿急，尿频，夜尿增多，逼尿肌过度活动,急迫性尿失禁,,排尿次数增多，昼夜≥八次，夜间≥两次，每次＜200ml,尿动力学检查逼尿肌不稳定，尿动力学检查逼尿肌反射亢进,0,,
儿科,尿道炎和尿道综合征,,"[('尿道口炎', 130), ('尿道炎', 16), ('尿道综合征', 4), ('尿道旁腺脓肿', 3), ('化脓性尿道口炎', 1)]",,N34,,,,,"尿道炎,尿道综合征,尿道口炎,尿道炎,尿道综合征,尿道旁腺脓肿,化脓性尿道口炎",,"排尿灼烧感,排尿刺激感，尿痛,尿频,尿道脓性分泌物,尿急","乳糜尿,膀胱湿热尿血,外阴下坠,尿流缓慢,,尿道刺痒,异常分泌物,下腰部疼痛,下腹疼痛",尿常规：白细胞增多,尿培养：阳性,,,
儿童泌尿外科,尿路梗阻,N36.854机械性尿路梗阻,,,N36,No,,,刘延青,,尿频，尿急，尿痛，脓尿，尿路结石，尿路感染，肿瘤，尿道狭窄，血尿，无尿，少尿，尿滴沥,肾积水，肾功能下降,截瘫，神经源性膀胱,白细胞升高，尿中出现结石，尿中多量红细胞，,0,0,,
妇产科,泌尿系统的其他疾患,,"[('尿路感染', 798), ('压力性尿失禁', 76), ('张力性尿失禁', 51), ('尿失禁', 39), ('无症状性蛋白尿', 12)]",,N39,,,,,"尿路感染,压力性尿失禁,张力性尿失禁,尿失禁,无症状性蛋白尿",压力性尿失禁，不自主溢尿，排尿后膀胱区胀满感，咳嗽溢尿,"尿急，尿频,尿痛,耻骨上方压迫感,尿色浑浊,排尿不畅,排尿灼烧感,排尿困难","疲乏,发热,寒战,尿频,肝区肿大,肾脓肿,阴茎疼痛,阴茎硬结,神经质,腰部钝痛,胁腹痛,血尿,下腹疼痛,肾区叩击痛,消瘦,多尿,嗜睡,急性贫血,焦虑",尿路感染：清洁中段尿培养菌落计数女性＞105cfu/ml、男性＞104cfu/ml，或所有患者导尿留取的尿标本细菌菌落计数＞104cfu/ml；尿蛋白阳性；压力试验、指压试验阳性，尿垫试验阳性,彩超提示尿路结石，尿pH升高，尿培养、血培养阳性，CRP↑，降钙素原↑；彩超残余尿。,尿白细胞升高；,,
儿童泌尿外科,鞘膜积液,N43,,,N43,No,1,,于明丽,,阴囊内有囊性肿块，呈慢性无痛性逐渐增大,"阴囊有下坠感,阴囊有牵拉感或胀痛。阴茎缩入包皮内，排尿异常",,透光试验阳性,B超检查发现包括，有液性暗区,,,
儿童泌尿外科,睾丸扭转,N44.X01,,,N44,No,1,,刘延青,,睾丸疼痛，睾丸持续疼痛，睾丸疼痛阵发性加重，阴囊红肿，阴囊压痛,精索扭转，精索增粗，精索缩短，睾丸可提向上方，睾丸可横位，阴囊疼痛发作史,腹痛，呕吐，发热，可产生睾丸萎缩,0,0,白细胞升高,,
生殖内分泌,男性不育症,,"[('不育症', 57), ('丈夫无精症', 14), ('丈夫畸精症', 2), ('丈夫严重少弱精', 2), ('丈夫少弱精症', 2)]",,N46,,1,345,,"男性不育症,不育症,无精症,畸精症,严重少弱精,丈夫少弱精症",,"畸精,少精,精子质量差,男性不育,弱精,无精,精液异常",,抗精子抗体阳性；染色体Yqll23区域基因片段丢失（无精子因子）；,精液分析：一次射精量＜2ml或＞5ml；计数＜20*10^6/ml；外观浅黄色；液化时间＞60min；pH＞8.0或＜7.2；活力3级（a级）精子＜25%或a+b级＜50%（弱精子症）；存活率＜50%；畸形精子＞85%；精浆生化如精浆锌、精浆酸性磷酸酶、精浆柠檬酸精浆果糖等化验。前列腺液：黄色或脓性，pH升高可能为前列腺炎；,激素化验：继发性性腺功能减退（T↓，LH↓，FSH↓）；原发性性腺功能衰竭（T↓，LH正常或偏高）；选择性生精上皮功能不全（T、LH正常，FSH↑）；雄激素耐受综合征（T↑，LH↑，FSH↑）；病原学：淋球菌、支原体、HPV阳性等,,
儿童泌尿外科,包皮过长,N47.X02,,,N47,No,1,,刘延青,,包皮长，包皮遮挡阴茎头，包皮不能上翻至阴茎冠状沟，包皮口狭窄，包皮与阴茎头粘连,尿道口狭窄，尿液不易排尽，引起包皮炎，阴茎红肿，阴茎发炎,时常遗精,白细胞升高，包皮细菌涂片阳性,0,0,,
儿科,阴茎的其他疾患,,"[('包茎', 544), ('包皮过长', 424), ('包皮垢', 104), ('阴茎炎', 63), ('包皮', 45)]",,N48,,1,,,"阴茎,包茎,包皮过长,包皮垢,阴茎炎，包皮龟头炎",龟头红肿，包皮分泌物增多，龟头疼痛，阴茎肿胀,"阴茎疼痛,尿道口红斑和水肿,龟头瘙痒","疲乏,发热,丘疹,脓性分泌物,出血,包皮粘连,阴茎阴囊水肿",体格检查,,,,
乳腺外科,良性乳腺发育不良,N60,,,N60,No,2,,唐晓昱,,,乳房小，乳房扁平，胸部扁平，胸平，乳房不对称，经前乳房胀痛，乳腺囊肿，乳腺,,,超声：乳腺内部不规则无回声区,,,
妇产科,乳房炎性疾患,,"[('乳腺包块', 28), ('乳腺炎', 9), ('右侧乳房蜂窝组织炎', 6), ('右侧乳腺炎', 5), ('乳腺红肿', 2)]",,N61,,2,345,,"乳腺包块,乳腺炎,右侧乳房蜂窝组织炎,右侧乳腺炎,乳腺红肿",乳腺肿块和乳头内陷、乳头溢液、乳腺疼痛，乳腺瘘管、窦道或者溃疡，经久不愈,"乳房胀痛,乳房发红发热,乳头溢液,乳房压痛",发热，寒战，腋窝淋巴结肿大,超声：乳腺腺体增厚，乳腺回声不均,乳腺彩超/X线发现包块，病原菌培养阳性,白细胞升高，C反应蛋白(CRP)升高、红细胞沉降率(ESR)等升高，IgG、IgM、IgA，抗核抗体谱等免疫指标阳性，催乳素(PRL)等内分泌指标阳性，风湿系列阳性,,
儿科,乳房肥大,,"[('男性青春期乳房发育', 37), ('男性乳房发育', 32), ('青春期男性乳房发育', 22), ('男性乳房长大', 6), ('男性乳房发育异常', 1)]",,N62,,1,,,,,"乳房肥大,男性青春期乳房发育,男性乳房发育,青春期男性乳房发育,男性乳房长大,男性乳房发育异常",,雌激素水平升高，雄激素水平降低，睾酮水平降低,超声：无异常包块，仅见肥大,,,
乳腺外科,未特指的乳房肿块,N63,,,N63,No,2,345,唐晓昱,,,乳房肿块，乳房结节,,,,,,
